"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Abyssocottus korotneffi",39735,5,NA,NA
"Cyphocottus megalops",40364,5,NA,NA
"Limnocottus pallidus",40378,5,NA,NA
"Acanthurus bahianus",6762,NA,NA,NA
"Acanthurus bahianus",6762,NA,NA,NA
"Acanthurus chirurgus",959,NA,NA,NA
"Acanthurus chirurgus",959,NA,NA,NA
"Acanthurus coeruleus",960,NA,NA,NA
"Acanthurus coeruleus",960,NA,NA,NA
"Acanthurus leucosternon",1274,NA,NA,NA
"Acanthurus lineatus",1275,NA,NA,4
"Acanthurus nigrofuscus",4963,NA,NA,2
"Acanthurus nigrofuscus",4963,NA,NA,2
"Acanthurus triostegus",1277,1,2,NA
"Acanthurus triostegus",1277,NA,NA,NA
"Ctenochaetus strigosus",6329,NA,NA,NA
"Naso hexacanthus",1280,NA,NA,7
"Naso tuberosus",6337,NA,NA,4
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Catathyridium jenynsii",18653,NA,NA,NA
"Catathyridium jenynsii",18653,NA,NA,NA
"Trinectes maculatus",4456,NA,NA,1
"Trinectes maculatus",4456,NA,NA,2
"Trinectes maculatus",4456,NA,NA,2
"Mancopsetta maculata",7565,2,3,NA
"Acipenser baerii",4901,16,20,17
"Acipenser baerii",4901,9,15,11
"Acipenser baerii",4901,9,11,NA
"Acipenser baerii",4901,17,23,NA
"Acipenser baerii",4901,12,14,NA
"Acipenser baerii",4901,17,18,NA
"Acipenser baerii",4901,NA,NA,12
"Acipenser baerii",4901,NA,NA,16
"Acipenser baerii",4901,7,9,NA
"Acipenser baerii",4901,20,22,NA
"Acipenser baerii",4901,26,34,NA
"Acipenser baerii",4901,11,13,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,16,20,NA
"Acipenser baerii",4901,15,18,NA
"Acipenser baerii",4901,9,12,NA
"Acipenser baerii",4901,NA,NA,12
"Acipenser baerii",4901,NA,NA,16
"Acipenser baerii",4901,NA,NA,10
"Acipenser baerii",4901,NA,NA,18
"Acipenser baerii",4901,19,24,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,12,14,NA
"Acipenser baerii",4901,11,13,NA
"Acipenser baerii",4901,NA,NA,16
"Acipenser baerii",4901,NA,NA,4
"Acipenser baerii",4901,NA,NA,15
"Acipenser baerii",4901,17,29,NA
"Acipenser baerii",4901,9,10,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,15,18,NA
"Acipenser baerii",4901,9,10,NA
"Acipenser baerii",4901,NA,NA,8
"Acipenser baerii",4901,NA,NA,10
"Acipenser baerii",4901,NA,NA,10
"Acipenser baerii",4901,17,20,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,20,28,NA
"Acipenser baerii",4901,11,24,NA
"Acipenser baerii",20715,20,NA,NA
"Acipenser baerii",20715,15,NA,NA
"Acipenser brevirostrum",2786,NA,NA,NA
"Acipenser brevirostrum",2786,14,17,NA
"Acipenser brevirostrum",2786,NA,NA,NA
"Acipenser brevirostrum",2786,6,7,NA
"Acipenser brevirostrum",2786,3,5,NA
"Acipenser dabryanus",9059,8,10,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,26
"Acipenser fulvescens",2787,20,NA,NA
"Acipenser fulvescens",2787,16,NA,NA
"Acipenser gueldenstaedtii",4933,9,10,NA
"Acipenser gueldenstaedtii",4933,8,15,NA
"Acipenser gueldenstaedtii",4933,12,16,NA
"Acipenser gueldenstaedtii",4933,11,13,NA
"Acipenser medirostris",2788,NA,NA,NA
"Acipenser medirostris",2788,NA,NA,NA
"Acipenser naccarii",2698,8,12,NA
"Acipenser naccarii",2698,6,8,NA
"Acipenser nudiventris",2699,NA,NA,NA
"Acipenser nudiventris",2699,12,NA,NA
"Acipenser nudiventris",2699,6,NA,NA
"Acipenser nudiventris",2699,12,22,NA
"Acipenser nudiventris",2699,6,15,NA
"Acipenser oxyrinchus",2789,20,30,NA
"Acipenser oxyrinchus",2789,27,28,NA
"Acipenser oxyrinchus",2789,8,12,NA
"Acipenser oxyrinchus",2789,11,20,NA
"Acipenser oxyrinchus",2789,22,34,NA
"Acipenser oxyrinchus",2789,7,9,NA
"Acipenser oxyrinchus",2789,7,19,NA
"Acipenser oxyrinchus",2789,27,28,NA
"Acipenser oxyrinchus",2789,7,12,NA
"Acipenser persicus",10086,12,18,NA
"Acipenser persicus",10086,8,15,NA
"Acipenser ruthenus",4791,5,9,7
"Acipenser ruthenus",4791,4,5,NA
"Acipenser ruthenus",4791,5,7,NA
"Acipenser ruthenus",4791,3,5,NA
"Acipenser ruthenus",4791,4,5,NA
"Acipenser ruthenus",4791,3,4,NA
"Acipenser ruthenus",4791,6,9,NA
"Acipenser ruthenus",4791,5,8,NA
"Acipenser ruthenus",4791,3,5,NA
"Acipenser schrenckii",6399,9,10,NA
"Acipenser schrenckii",6399,NA,NA,NA
"Acipenser schrenckii",6399,11,14,NA
"Acipenser schrenckii",6399,8,10,NA
"Acipenser schrenckii",6399,9,10,NA
"Acipenser schrenckii",6399,10,14,11
"Acipenser schrenckii",6399,7,12,NA
"Acipenser schrenckii",6399,9,10,NA
"Acipenser schrenckii",6399,7,8,NA
"Acipenser sinensis",9084,14,26,NA
"Acipenser sinensis",9084,8,18,NA
"Acipenser stellatus",2260,7,14,NA
"Acipenser stellatus",2260,8,10,NA
"Acipenser stellatus",2260,5,7,NA
"Acipenser stellatus",2260,8,14,NA
"Acipenser stellatus",2260,6,12,NA
"Acipenser sturio",2261,8,14,NA
"Acipenser sturio",2261,14,NA,NA
"Acipenser sturio",2261,7,9,NA
"Acipenser sturio",2261,11,NA,NA
"Acipenser sturio",2261,8,20,NA
"Acipenser sturio",2261,7,15,NA
"Acipenser sturio",2261,8,14,11
"Acipenser sturio",2261,13,16,NA
"Acipenser sturio",2261,8,12,NA
"Acipenser sturio",2261,8,14,NA
"Acipenser sturio",2261,7,11,NA
"Acipenser sturio",2261,11,18,NA
"Acipenser sturio",2261,9,13,NA
"Acipenser transmontanus",2790,NA,NA,NA
"Acipenser transmontanus",2790,11,34,NA
"Acipenser transmontanus",2790,11,22,NA
