"StockCode","sciname","Loo","TLinfinity","K","SE_K","SD_K","LCL_K","UCL_K","Temperature","DeltaT"
39735,"Abyssocottus korotneffi",13,13,0.3,NA,NA,NA,NA,NA,NA
40364,"Cyphocottus megalops",17,17,0.21,NA,NA,NA,NA,NA,NA
40361,"Limnocottus godlewskii",15.3,15.3,0.34,NA,NA,NA,NA,NA,NA
40378,"Limnocottus pallidus",15,15,0.23,NA,NA,NA,NA,NA,NA
4972,"Acanthurus auranticavus",23.5,31.8,0.676,NA,NA,NA,NA,26,NA
6762,"Acanthurus bahianus",24.6,27.318,0.383,NA,NA,NA,NA,28.5,1.9
6762,"Acanthurus bahianus",14.8,NA,1.584,NA,NA,NA,NA,NA,NA
6762,"Acanthurus bahianus",15.6,NA,0.985,NA,NA,NA,NA,NA,NA
6762,"Acanthurus bahianus",17.6,NA,1.061,NA,NA,NA,NA,NA,NA
6762,"Acanthurus bahianus",18.3,NA,1.201,NA,NA,NA,NA,NA,NA
6762,"Acanthurus bahianus",18.9,NA,1.241,NA,NA,NA,NA,NA,NA
4974,"Acanthurus blochii",27.6,35.9,0.25,NA,NA,NA,NA,26,NA
959,"Acanthurus chirurgus",33.2,33.2,0.254,NA,NA,NA,NA,28.2,1.9
959,"Acanthurus chirurgus",35,35,0.5,NA,NA,NA,NA,27,NA
959,"Acanthurus chirurgus",20,NA,0.705,NA,NA,NA,NA,NA,NA
960,"Acanthurus coeruleus",36.9,40.728,0.112,NA,NA,NA,NA,28.2,1.9
960,"Acanthurus coeruleus",30,30,0.5,NA,NA,NA,NA,27,NA
960,"Acanthurus coeruleus",17.4,NA,0.817,NA,NA,NA,NA,NA,NA
960,"Acanthurus coeruleus",18.3,NA,0.477,NA,NA,NA,NA,NA,NA
960,"Acanthurus coeruleus",19.3,NA,0.403,NA,NA,NA,NA,NA,NA
1272,"Acanthurus dussumieri",30.8,40.5,0.296,NA,NA,NA,NA,26,NA
1274,"Acanthurus leucosternon",21,21,1.3,NA,NA,NA,NA,27,NA
1275,"Acanthurus lineatus",20.3,25,0.7,NA,NA,NA,NA,28.6,NA
1275,"Acanthurus lineatus",17.5,26.05164,0.34,NA,NA,NA,NA,26,NA
1275,"Acanthurus lineatus",18.9,28.13577,0.68,NA,NA,NA,NA,26,NA
1275,"Acanthurus lineatus",28.7,28.7,2.56,NA,NA,NA,NA,27,NA
1275,"Acanthurus lineatus",18.3,NA,0.462,NA,NA,NA,NA,NA,NA
1271,"Acanthurus mata",38.3,NA,0.219,NA,NA,NA,NA,26,NA
6325,"Acanthurus nigricans",14.3,17.9,0.28,NA,NA,NA,NA,26,NA
4971,"Acanthurus nigricauda",24.3,24.3,0.6,NA,NA,NA,NA,27,NA
4963,"Acanthurus nigrofuscus",18,18,1,NA,NA,NA,NA,28,NA
4963,"Acanthurus nigrofuscus",12.7,13.51064,0.51,NA,NA,NA,NA,25,NA
4963,"Acanthurus nigrofuscus",14.4,15.31915,0.16,NA,NA,NA,NA,25,NA
4963,"Acanthurus nigrofuscus",15.8,16.80851,0.45,NA,NA,NA,NA,25.8,NA
4963,"Acanthurus nigrofuscus",16.6,17.65957,1.72,NA,NA,NA,NA,26,NA
4963,"Acanthurus nigrofuscus",12,NA,0.783,NA,NA,NA,NA,NA,NA
4968,"Acanthurus olivaceus",21,NA,1.066,NA,NA,NA,NA,NA,NA
4966,"Acanthurus pyroferus",14.3,23.3,0.422,NA,NA,NA,NA,26,NA
1277,"Acanthurus triostegus",21.7,25.86047,0.35,NA,NA,NA,NA,25.6,3.5
1277,"Acanthurus triostegus",20,20,1,NA,NA,NA,NA,27,NA
1277,"Acanthurus triostegus",20.3,NA,1.43,NA,NA,NA,NA,NA,NA
1278,"Acanthurus xanthopterus",42.6,65,0.287,NA,NA,NA,NA,26,NA
1279,"Ctenochaetus striatus",24.1,24.1,0.87,NA,NA,NA,NA,28.7,NA
1279,"Ctenochaetus striatus",10.5,NA,0.802,NA,NA,NA,NA,NA,NA
1279,"Ctenochaetus striatus",15.4,NA,0.974,NA,NA,NA,NA,NA,NA
1279,"Ctenochaetus striatus",17.5,NA,0.803,NA,NA,NA,NA,NA,NA
1279,"Ctenochaetus striatus",17,NA,0.9,NA,NA,NA,NA,NA,NA
6329,"Ctenochaetus strigosus",23.3,23.3,0.9,NA,NA,NA,NA,27,NA
6333,"Naso annulatus",62.6,72.8,0.213,NA,NA,NA,NA,26,NA
6334,"Naso brachycentron",43.4,NA,0.429,NA,NA,NA,NA,26,NA
6335,"Naso brevirostris",30.4,38.3,0.402,NA,NA,NA,NA,26,NA
1280,"Naso hexacanthus",52.7,NA,0.221,NA,NA,NA,NA,26,NA
1281,"Naso lituratus",35.1,42.28915,0.35,NA,NA,NA,NA,28,NA
1281,"Naso lituratus",21.1,NA,0.755,NA,NA,NA,NA,NA,NA
6337,"Naso tuberosus",45.9,NA,0.428,NA,NA,NA,NA,26,NA
1282,"Naso unicornis",57,66.27907,0.14,NA,NA,NA,NA,28,NA
1282,"Naso unicornis",38.6,NA,0.489,NA,NA,NA,NA,NA,NA
6338,"Naso vlamingii",37.9,54,0.264,NA,NA,NA,NA,26,NA
6332,"Zebrasoma flavescens",15.6,NA,0.3,NA,NA,NA,NA,NA,NA
6332,"Zebrasoma flavescens",17.9,17.9,0.25,NA,NA,NA,NA,NA,NA
6260,"Zebrasoma scopas",13.3,NA,0.425,NA,NA,NA,NA,26,NA
