sciname,aveK,aveTLinf,logTLinf,avephi1,aveKphi
Abbottina rivularis,0.3,15.8,2.397314174,1.874435429,0.3
Ablennes hians,0.605,127,4.207607442,3.989362817,0.605
Abramis brama,0.137964815,67.41550204,3.657519546,2.716633613,0.114581385
Abudefduf vaigiensis,0.85,18.9,2.552923608,2.482342534,0.85
Abyssocottus korotneffi,0.3,13,2.227886705,1.705007959,0.3
Acanthobrama microlepis,0.1049,29.87,2.950470445,1.971245933,0.1049
Acanthobrama terraesanctae,0.223,19.2,2.566602457,1.892068397,0.211575775
Acanthochaenus luetkenii,0.414,13.6,2.267077817,1.884078158,0.414
Acanthoclinus littoreus,0.41,18.5,2.534343457,2.147127314,0.41
Acanthocybium solandri,0.299666667,168,4.450618563,3.901737738,0.282565525
Acanthopagrus arabicus,0.2125,43.75,3.281956115,2.608434723,0.212069694
Acanthopagrus australis,0.51,29.5,2.939644032,2.647214208,0.51
Acanthopagrus berda,0.289,37.56666667,3.149605323,2.599043747,0.28147409
Acanthopagrus bifasciatus,0.2342,36.215868,3.117797797,2.469135073,0.224562522
Acanthopagrus butcheri,0.194384615,41.69197923,3.240105025,2.441325023,0.158935165
Acanthopagrus latus,0.167,52,3.432006687,2.654723158,0.167
Acanthurus auranticavus,0.676,31.8,3.00485424,2.834800936,0.676
Acanthurus bahianus,1.075833333,18.753,2.546141507,2.523990318,0.95027392
Acanthurus blochii,0.25,35.9,3.110188897,2.508128906,0.25
Acanthurus chirurgus,0.486333333,29.4,2.936694661,2.561488362,0.421496236
Acanthurus coeruleus,0.4618,25.1456,2.800924006,2.339075496,0.345264153
Acanthurus dussumieri,0.296,40.5,3.214910046,2.686201757,0.296
Acanthurus leucosternon,1.3,21,2.644438589,2.758381942,1.3
Acanthurus lineatus,0.9484,25.237482,2.804092044,2.649740309,0.70088742
Acanthurus mata,0.219,38.3,3.166397548,2.506841663,0.219
Acanthurus nigricans,0.28,17.9,2.505706062,1.952864093,0.28
Acanthurus nigricauda,0.6,24.3,2.771212547,2.549363798,0.6
Acanthurus nigrofuscus,0.7705,15.549645,2.383440957,2.156656708,0.593219954
Acanthurus olivaceus,1.066,21,2.644438589,2.672195794,1.066
Acanthurus pyroferus,0.422,23.3,2.734711842,2.360024293,0.422
Acanthurus triostegus,0.926666667,22.05349,2.686954654,2.580576325,0.782747468
Acanthurus xanthopterus,0.287,65,3.625826713,3.08370861,0.287
Acestrorhynchus lacustris,0.37,38.00333333,3.159643382,2.724803934,0.367418104
Achirus mazatlanus,1.092,20.9,2.640292572,2.678515211,1.092
Achoerodus gouldii,0.11,83.2,3.840246653,2.850504874,0.10239016
Achondrostoma arcasii,0.2635,12.65,2.204181051,1.62371888,0.262747038
Acipenser baerii,0.053333333,151.2999967,4.359677837,3.058636267,0.049998667
Acipenser brevirostrum,0.04,144,4.316724984,2.918784976,0.04
Acipenser fulvescens,0.037425,179.625,4.508733562,3.058655904,0.035474995
Acipenser gueldenstaedtii,0.041666667,247.7666667,4.788085756,3.397353847,0.040669431
Acipenser medirostris,0.0685,214,4.660827547,3.474575186,0.065124986
Acipenser nudiventris,0.0705,220.675,4.687506271,3.496329189,0.064390666
Acipenser oxyrinchus,0.098428571,230.2857143,4.724533995,3.649114225,0.084058228
Acipenser ruthenus,0.125,73,3.72664572,2.803958723,0.119484894
Acipenser schrenckii,0.06,205.39999,4.625200836,3.403352087,0.06
Acipenser stellatus,0.08375,186.5999975,4.541823267,3.40053468,0.072228968
Acipenser sturio,0.0695,365.5,5.125774763,3.819855861,0.0494403
Acipenser transmontanus,0.044866667,317.6666667,5.003943292,3.641517065,0.0434084
Acreichthys tomentosus,0.86,11.79,2.14302761,2.077526061,0.86
Acyrtops beryllinus,2.42,2.5,0.795880017,1.179695383,2.42
Agamyxis albomaculatus,8.51,4.1,1.225567713,2.155497274,8.51
Ageneiosus militaris,0.29,47.9,3.360671027,2.823069025,0.29
Ageneiosus ucayalensis,0.335,35,3.088136089,2.602014691,0.326496554
Agonus cataphractus,0.475,15,2.352182518,2.028876128,0.475
