"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
4494,"Abyssocottus korotneffi",39735,51998,"unsexed",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,9,"TL",NA,NA,NA,NA,NA,NA,"Lake Baikal","643",NA,NA,3,"2004-09-18T00:00:00.000Z",NA,"2004-09-18T00:00:00.000Z",NA,NA,NA,47208
4492,"Cyphocottus megalops",40364,51998,"unsexed",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,8,NA,NA,NA,NA,"Lake Baikal","643",NA,NA,3,"2004-09-18T00:00:00.000Z",NA,"2004-09-18T00:00:00.000Z",NA,NA,NA,48064
4493,"Limnocottus pallidus",40378,51998,"unsexed",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,"TL",NA,NA,NA,NA,NA,NA,"Lake Baikal","643",NA,NA,3,"2004-09-18T00:00:00.000Z",NA,"2004-09-18T00:00:00.000Z",NA,NA,NA,48083
2632,"Acanthurus bahianus",6762,26409,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"FL",3194,15.5,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-23T00:00:00.000Z",NA,"1998-04-23T00:00:00.000Z",NA,NA,NA,942
2633,"Acanthurus bahianus",6762,26409,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"FL",3194,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-23T00:00:00.000Z",NA,"1998-04-23T00:00:00.000Z",NA,NA,NA,942
1247,"Acanthurus chirurgus",959,26409,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"FL",3194,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-23T00:00:00.000Z",NA,"1998-04-23T00:00:00.000Z",NA,NA,NA,943
1248,"Acanthurus chirurgus",959,26409,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"FL",3194,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-23T00:00:00.000Z",NA,"1998-04-23T00:00:00.000Z",NA,NA,NA,943
1249,"Acanthurus coeruleus",960,26409,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"FL",3194,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-23T00:00:00.000Z",NA,"1998-04-23T00:00:00.000Z",NA,NA,NA,944
1250,"Acanthurus coeruleus",960,26409,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"FL",3194,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-23T00:00:00.000Z",NA,"1998-04-23T00:00:00.000Z",NA,NA,NA,944
4175,"Acanthurus leucosternon",1274,48600,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",48600,13.8,NA,NA,NA,NA,"Lakshadweep lagoons, 1993-97","356",NA,NA,3,"2003-09-24T00:00:00.000Z",NA,"2003-09-24T00:00:00.000Z",NA,NA,NA,1257
3268,"Acanthurus lineatus",1275,27543,"mixed",NA,NA,27543,4,NA,NA,NA,NA,NA,NA,NA,NA,"FL",27543,18,NA,NA,NA,NA,"Tutuila Island","016",NA,NA,3,"2001-02-22T00:00:00.000Z",NA,"2022-02-01T00:00:00.000Z",NA,NA,NA,1258
2344,"Acanthurus nigrofuscus",4963,12201,"unsexed",NA,NA,12201,2,NA,NA,NA,NA,NA,NA,13,14,"FL",12201,NA,NA,NA,NA,NA,"Grub and Centipede reefs, N. Queensland, 1992/93","036",NA,NA,3,"1998-11-02T00:00:00.000Z",NA,"1998-11-02T00:00:00.000Z",NA,NA,NA,4739
2345,"Acanthurus nigrofuscus",4963,12201,"unsexed",NA,NA,12201,2,NA,NA,NA,NA,NA,NA,10,11,"FL",12201,NA,NA,NA,NA,NA,"Yankee, Bowl, Dip and Coil reefs, 1992/93","036",NA,NA,3,"1996-11-10T00:00:00.000Z",NA,"1998-11-02T00:00:00.000Z",NA,NA,NA,4739
8650,"Acanthurus triostegus",1277,240,"unsexed",1,2,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"to be filled","840B",NA,NA,2,"2015-04-23T00:00:00.000Z",NA,"2015-04-23T00:00:00.000Z",NA,NA,NA,1260
4179,"Acanthurus triostegus",1277,48600,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",48600,7.5,NA,NA,NA,NA,"Lakshadweep lagoons, 1993-97","356",NA,NA,3,"2003-09-24T00:00:00.000Z",NA,"2003-09-24T00:00:00.000Z",NA,NA,NA,1260
4174,"Ctenochaetus strigosus",6329,48600,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",48600,14.5,NA,NA,NA,NA,"Lakshadweep lagoons, 1993-97","356",NA,NA,3,"2003-09-24T00:00:00.000Z",NA,"2003-09-24T00:00:00.000Z",NA,NA,NA,6015
4541,"Naso hexacanthus",1280,52229,"unsexed",NA,NA,52229,7,NA,NA,NA,NA,NA,NA,NA,NA,"SL",52229,45,NA,NA,NA,NA,"Great Barrier Reef","036",NA,NA,3,"2004-10-03T00:00:00.000Z",NA,"2004-10-03T00:00:00.000Z",NA,NA,NA,1263
4542,"Naso tuberosus",6337,52229,"unsexed",NA,NA,52229,4,NA,NA,NA,NA,NA,NA,NA,NA,"SL",52229,35,NA,NA,NA,NA,"Great Barrier Reef","036",NA,NA,3,"2004-10-03T00:00:00.000Z",NA,"2004-10-03T00:00:00.000Z",NA,NA,NA,6023
4514,"Acestrorhynchus lacustris",42674,50793,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,"SL",50793,NA,NA,NA,NA,NA,"Três Marias Reservoir","076",NA,NA,3,"2004-09-26T00:00:00.000Z",NA,"2004-09-26T00:00:00.000Z",NA,NA,NA,51077
4515,"Acestrorhynchus lacustris",42674,50793,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"SL",50793,NA,NA,NA,NA,NA,"Três Marias Reservoir","076",NA,NA,3,"2004-09-26T00:00:00.000Z",NA,"2004-09-26T00:00:00.000Z",NA,NA,NA,51077
7296,"Acestrorhynchus lacustris",42674,83813,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",83813,13,NA,NA,NA,NA,"Southeastern region","076",NA,NA,564,"2009-11-19T00:00:00.000Z",3,"2010-04-29T00:00:00.000Z",NA,NA,NA,51077
7297,"Acestrorhynchus lacustris",42674,83813,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",83813,10.7,NA,NA,NA,NA,"Southeastern region","076",NA,NA,564,"2009-11-19T00:00:00.000Z",3,"2010-04-29T00:00:00.000Z",NA,NA,NA,51077
7269,"Catathyridium jenynsii",18653,83813,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",83813,10.42,NA,NA,NA,NA,"Southeastern region","076",NA,NA,564,"2009-11-19T00:00:00.000Z",3,"2010-04-29T00:00:00.000Z",NA,NA,NA,23473
7270,"Catathyridium jenynsii",18653,83813,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",83813,10.8,NA,NA,NA,NA,"Southeastern region","076",NA,NA,564,"2009-11-19T00:00:00.000Z",3,"2010-04-29T00:00:00.000Z",NA,NA,NA,23473
4600,"Trinectes maculatus",4456,52191,"mixed",NA,NA,52205,1,NA,NA,NA,NA,NA,NA,NA,NA,"TL",52205,10,NA,NA,NA,NA,"Patuxent River, Maryland","840",NA,NA,3,"2004-11-21T00:00:00.000Z",NA,"2004-11-21T00:00:00.000Z",NA,NA,NA,4260
5837,"Trinectes maculatus",4456,58823,"female",NA,NA,58823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hudson River, New York","840",NA,NA,2,"2007-09-05T00:00:00.000Z",NA,"2007-09-05T00:00:00.000Z",NA,NA,NA,4260
5838,"Trinectes maculatus",4456,58823,"male",NA,NA,58823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hudson River, New York","840",NA,NA,2,"2007-09-05T00:00:00.000Z",NA,"2007-09-05T00:00:00.000Z",NA,NA,NA,4260
5603,"Mancopsetta maculata",7565,32933,"female",2,3,32933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"northeast, south and southwest coasts (Nov. 1994)","238",NA,NA,2,"2006-11-09T00:00:00.000Z",NA,"2006-11-09T00:00:00.000Z",NA,NA,NA,7121
2316,"Acipenser baerii",4901,2059,"female",16,20,NA,17,NA,NA,NA,NA,NA,NA,85,90,"TL",593,NA,NA,NA,NA,NA,"Ob","643",NA,"Also Ref. 11941.",339,"1998-07-03T00:00:00.000Z",3,"2004-11-04T00:00:00.000Z",NA,NA,NA,4683
2317,"Acipenser baerii",4901,2059,"male",9,15,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ob","643",NA,"Also Ref. 11941.",339,"1998-07-03T00:00:00.000Z",3,"2004-11-04T00:00:00.000Z",NA,NA,NA,4683
4560,"Acipenser baerii",4901,40476,"male",9,11,NA,NA,NA,NA,NA,NA,NA,NA,75,85,"SL",NA,NA,NA,NA,NA,NA,"Not specified.","250",NA,"Under optimal conditions.",1016,"2004-11-04T00:00:00.000Z",3,"2004-11-04T00:00:00.000Z",NA,NA,NA,4683
5244,"Acipenser baerii",4901,56502,"mixed",17,23,56502,NA,NA,NA,NA,NA,NA,NA,101,108,"TL",56502,NA,NA,NA,NA,NA,"Enisey river","643",NA,NA,1287,"2006-03-20T23:53:30.000Z",NA,"2006-03-20T23:53:30.000Z",NA,NA,NA,4683
8455,"Acipenser baerii",4901,57765,"female",12,14,57765,NA,NA,NA,NA,NA,NA,NA,70,75,"TL",57765,NA,NA,NA,NA,NA,"Indigirka River","643",NA,"Weight: 1,200 - 2,000 g.  Spawns every 4 to 5 years (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
8437,"Acipenser baerii",4901,57765,"female",17,18,95003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irtysh River","643",NA,NA,2,"2014-02-24T00:00:00.000Z",NA,"2014-02-24T00:00:00.000Z",NA,NA,NA,4683
8440,"Acipenser baerii",4901,57765,"female",NA,NA,58228,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irtysh River, 1936 (year of publication)","643",NA,NA,2,"2014-02-24T00:00:00.000Z",NA,"2014-02-24T00:00:00.000Z",NA,NA,NA,4683
8457,"Acipenser baerii",4901,57765,"female",NA,NA,57765,16,NA,NA,NA,NA,NA,NA,NA,NA,"TL",57765,79,NA,NA,NA,NA,"Kolyma River","643",NA,"Weight: 2,150 g.  Spawns every 4 to 5 years (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
8459,"Acipenser baerii",4901,57765,"female",7,9,95011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",95011,109,NA,NA,NA,NA,"Konakovo warm-water hatchery","643",NA,"Weight: 5,000 - 6,800 g.  Spawns every 1.5 - 2 years (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
8445,"Acipenser baerii",4901,57765,"female",20,22,95005,NA,NA,NA,NA,NA,NA,NA,119,124,"TL",95005,NA,NA,NA,NA,NA,"Lake Baikal","643",NA,"Weight: 14000 g (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
8447,"Acipenser baerii",4901,57765,"female",26,34,95006,NA,NA,NA,NA,NA,NA,NA,152,167,"TL",95006,NA,NA,NA,NA,NA,"Lake Baikal, 1977 (year of publication)","643",NA,"Weight: 19,000 - 38,000 g (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
5882,"Acipenser baerii",4901,57765,"female",11,13,95009,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,70,NA,NA,NA,NA,"Lena drainage","643",NA,"Weight: 1,500 - 2,000 g.  Spawns every 3.5 years (Ref. 57765).  Also Ref. 59043.",1790,"2007-12-03T21:29:21.000Z",2,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
8449,"Acipenser baerii",4901,57765,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",95001,80,NA,NA,NA,NA,"Lena River","643",NA,"Weight: 1,400 - 2,000 g (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
8451,"Acipenser baerii",4901,57765,"female",16,20,95007,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",95007,70,NA,NA,NA,NA,"Lena River, 1955 (year of publication)","643",NA,"Weight: 1,500 g (Ref. 57765).",2,"2014-02-25T00:00:00.000Z",NA,"2014-02-25T00:00:00.000Z",NA,NA,NA,4683
