"sname","genus","fam","ord","class","agem","maxl","vbk","temp"
"Aaptosyax grypus","Aaptosyax","Cyprinidae","Cypriniformes","Actinopterygii",NA,130,NA,NA
"Abactochromis labrosus","Abactochromis","Cichlidae","Perciformes","Actinopterygii",NA,11.5,NA,24.5
"Abalistes filamentosus","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii",NA,32.5,NA,NA
"Abalistes stellaris","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii",NA,60,NA,NA
"Abalistes stellatus","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii",NA,60,NA,NA
"Abbottina liaoningensis","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii",NA,6.6,NA,NA
"Abbottina obtusirostris","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii",NA,7.8,NA,NA
"Abbottina rivularis","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii",1,18.9,0.3,NA
"Ablabys binotatus","Ablabys","Tetrarogidae","Scorpaeniformes","Actinopterygii",NA,15,NA,NA
"Ablabys macracanthus","Ablabys","Tetrarogidae","Scorpaeniformes","Actinopterygii",NA,20,NA,NA
"Ablabys taenianotus","Ablabys","Tetrarogidae","Scorpaeniformes","Actinopterygii",NA,15,NA,NA
"Ablennes hians","Ablennes","Belonidae","Beloniformes","Actinopterygii",NA,140,0.605,27
"Aboma etheostoma","Aboma","Gobiidae","Perciformes","Actinopterygii",NA,3.4,NA,NA
"Aborichthys cataracta","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,9.26,NA,NA
"Aborichthys elongatus","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,7.4,NA,NA
"Aborichthys garoensis","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,8.95,NA,NA
"Aborichthys kempi","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,8.1,NA,NA
"Aborichthys tikaderi","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,10.9,NA,NA
"Aborichthys verticauda","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,7.75,NA,NA
"Aborichthys waikhomi","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,6.8,NA,NA
"Abramis brama","Abramis","Cyprinidae","Cypriniformes","Actinopterygii",3.583333333,82,0.114581385,17
"Abramites eques","Abramites","Anostomidae","Characiformes","Actinopterygii",NA,15,NA,NA
"Abramites hypselonotus","Abramites","Anostomidae","Characiformes","Actinopterygii",NA,14,NA,25
"Abudefduf abdominalis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,30,NA,NA
"Abudefduf bengalensis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,17,NA,NA
"Abudefduf concolor","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,19,NA,NA
"Abudefduf conformis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,13.1,NA,NA
"Abudefduf declivifrons","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,18,NA,NA
"Abudefduf hoefleri","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,20,NA,NA
"Abudefduf lorenzi","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,18,NA,NA
