"","sname","DataSource.x","DataSource.y"
"1","Ablennes hians","Speciesmpack",NA
"2","Abramis brama","Speciesmpack","FBmpack"
"3","Abramis spp",NA,"FBmpack"
"4","Abudefduf vaigiensis","Speciesmpack",NA
"5","Acanthistius brasilianus",NA,"FBmpack"
"6","Acanthobrama microlepis","Speciesmpack",NA
"7","Acanthobrama terraesanctae","Speciesmpack",NA
"8","Acanthochaenus luetkenii","Speciesmpack",NA
"9","Acanthocybium solandri","Speciesmpack","FBmpack"
"10","Acanthopagrus arabicus","Speciesmpack",NA
"11","Acanthopagrus australis","Speciesmpack",NA
"12","Acanthopagrus berda","Speciesmpack",NA
"13","Acanthopagrus bifasciatus","Speciesmpack","FBmpack"
"14","Acanthopagrus butcheri","Speciesmpack",NA
"15","Acanthopagrus latus",NA,"FBmpack"
"16","Acanthopagrus schlegeli",NA,"FBmpack"
"17","Acanthuridae",NA,"FBmpack"
"18","Acanthurus auranticavus","Speciesmpack",NA
"19","Acanthurus bahianus","Speciesmpack",NA
"20","Acanthurus blochii","Speciesmpack",NA
"21","Acanthurus chirurgus","Speciesmpack",NA
"22","Acanthurus coeruleus","Speciesmpack",NA
"23","Acanthurus dussumieri","Speciesmpack",NA
"24","Acanthurus leucosternon","Speciesmpack",NA
"25","Acanthurus lineatus","Speciesmpack",NA
"26","Acanthurus mata","Speciesmpack",NA
"27","Acanthurus nigricans","Speciesmpack",NA
"28","Acanthurus nigricauda","Speciesmpack",NA
"29","Acanthurus nigrofuscus","Speciesmpack",NA
"30","Acanthurus olivaceus","Speciesmpack",NA
"31","Acanthurus pyroferus","Speciesmpack",NA
"32","Acanthurus triostegus","Speciesmpack",NA
"33","Acanthurus xanthopterus","Speciesmpack",NA
"34","Acetes japonicus",NA,"FBmpack"
"35","Achirus mazatlanus","Speciesmpack",NA
"36","Achoerodus gouldii","Speciesmpack",NA
"37","Acipenser baerii","Speciesmpack",NA
"38","Acipenser fulvescens","Speciesmpack",NA
"39","Acipenser gueldenstaedtii","Speciesmpack","FBmpack"
"40","Acipenser medirostris","Speciesmpack",NA
"41","Acipenser nudiventris","Speciesmpack",NA
"42","Acipenser schrenckii","Speciesmpack",NA
"43","Acipenser stellatus","Speciesmpack",NA
"44","Acipenser sturio","Speciesmpack",NA
"45","Acipenser transmontanus","Speciesmpack",NA
"46","Acipenseridae",NA,"FBmpack"
"47","Aequipecten opercularis",NA,"FBmpack"
"48","Agonus cataphractus","Speciesmpack",NA
"49","Albula vulpes","Speciesmpack","FBmpack"
"50","Alburnoides bipunctatus","Speciesmpack",NA
"51","Alburnus alburnus","Speciesmpack",NA
"52","Alburnus chalcoides","Speciesmpack",NA
"53","Aldrichetta forsteri","Speciesmpack",NA
"54","Alectis alexandrinus",NA,"FBmpack"
"55","Alectis indica","Speciesmpack",NA
"56","Alepes djedaba","Speciesmpack",NA
"57","Alepes kleinii","Speciesmpack",NA
"58","Alepes melanoptera","Speciesmpack",NA
"59","Alepocephalus bairdii","Speciesmpack","FBmpack"
"60","Alepocephalus rostratus","Speciesmpack",NA
"61","Alepocephalus tenebrosus","Speciesmpack",NA
"62","Alestes baremoze","Speciesmpack",NA
"63","Alestes dentex","Speciesmpack",NA
"64","Allocyttus niger","Speciesmpack",NA
"65","Alopias pelagicus","Speciesmpack",NA
"66","Alopias spp",NA,"FBmpack"
"67","Alopias superciliosus","Speciesmpack","FBmpack"
"68","Alopias vulpinus","Speciesmpack","FBmpack"
"69","Alosa alosa",NA,"FBmpack"
"70","Alosa immaculata","Speciesmpack",NA
"71","Alosa pontica",NA,"FBmpack"
"72","Alosa pseudoharengus","Speciesmpack","FBmpack"
"73","Alosa sapidissima",NA,"FBmpack"
"74","Alosa saposchnikowii","Speciesmpack",NA
"75","Alosa spp",NA,"FBmpack"
"76","Ambassis agassizii","Speciesmpack",NA
"77","Ambassis gymnocephalus","Speciesmpack",NA
"78","Ambassis kopsii","Speciesmpack",NA
"79","Amblygaster sirm","Speciesmpack",NA
"80","Amblyopsis rosae","Speciesmpack",NA
"81","Amblyopsis spelaea","Speciesmpack",NA
"82","Amblypharyngodon melettinus","Speciesmpack",NA
"83","Amblyraja radiata","Speciesmpack",NA
"84","Ameiurus natalis","Speciesmpack",NA
"85","Ameiurus nebulosus","Speciesmpack",NA
"86","Amia calva","Speciesmpack",NA
"87","Ammodytes dubius","Speciesmpack",NA
"88","Ammodytes marinus","Speciesmpack",NA
"89","Ammodytes personatus","Speciesmpack","FBmpack"
"90","Ammodytes spp",NA,"FBmpack"
"91","Ammodytes tobianus","Speciesmpack",NA
"92","Amniataba caudavittata","Speciesmpack",NA
"93","Amphilius jacksonii","Speciesmpack",NA
"94","Amphiprion chrysopterus","Speciesmpack",NA
"95","Amphiprion melanopus","Speciesmpack",NA
"96","Amphiprion perideraion","Speciesmpack",NA
"97","Amphiprion tricinctus","Speciesmpack",NA
"98","Amphistichus argenteus","Speciesmpack",NA
"99","Anabas testudineus","Speciesmpack",NA
"100","Anadara granosa",NA,"FBmpack"
"101","Anadara ovalis",NA,"FBmpack"
"102","Anadara spp",NA,"FBmpack"
"103","Anarhichas denticulatus","Speciesmpack",NA
"104","Anarhichas lupus","Speciesmpack","FBmpack"
"105","Anarhichas minor","Speciesmpack","FBmpack"
"106","Anarhichas spp",NA,"FBmpack"
"107","Anchoa mitchilli","Speciesmpack",NA
"108","Anchoa mundeola","Speciesmpack",NA
"109","Anchoa nasus","Speciesmpack",NA
"110","Anchoa panamensis","Speciesmpack",NA
"111","Anguilla anguilla","Speciesmpack","FBmpack"
"112","Anguilla australis",NA,"FBmpack"
"113","Anguilla japonica","Speciesmpack",NA
"114","Anguilla rostrata",NA,"FBmpack"
"115","Anguilla spp",NA,"FBmpack"
"116","Anisotremus interruptus","Speciesmpack",NA
"117","Anodontostoma chacunda","Speciesmpack","FBmpack"
"118","Anoplogaster cornuta","Speciesmpack",NA
"119","Anoplopoma fimbria","Speciesmpack","FBmpack"
"120","Anotopterus nikparini","Speciesmpack",NA
"121","Antimora rostrata","Speciesmpack","FBmpack"
"122","Apeltes quadracus","Speciesmpack",NA
"123","Aphanius iberus","Speciesmpack",NA
"124","Aphanopus carbo","Speciesmpack","FBmpack"
"125","Aphareus rutilans","Speciesmpack",NA
"126","Aphia minuta","Speciesmpack",NA
"127","Aphredoderus sayanus","Speciesmpack",NA
"128","Apogon imberbis","Speciesmpack",NA
"129","Aprion virescens","Speciesmpack",NA
"130","Apsilus dentatus","Speciesmpack",NA
"131","Arapaima gigas","Speciesmpack",NA
"132","Arca spp",NA,"FBmpack"
"133","Archosargus probatocephalus","Speciesmpack","FBmpack"
"134","Archosargus rhomboidalis","Speciesmpack",NA
"135","Arctica islandica",NA,"FBmpack"
"136","Arctocephalus pusillus",NA,"FBmpack"
"137","Arctoscopus japonicus",NA,"FBmpack"
"138","Argentina sialis","Speciesmpack",NA
"139","Argentina silus","Speciesmpack",NA
"140","Argentina sphyraena","Speciesmpack",NA
"141","Argentina spp",NA,"FBmpack"
"142","Argopecten gibbus",NA,"FBmpack"
"143","Argopecten irradians",NA,"FBmpack"
"144","Argopecten purpuratus",NA,"FBmpack"
"145","Argopecten ventricosus",NA,"FBmpack"
"146","Argyropelecus affinis","Speciesmpack",NA
"147","Argyrops filamentosus","Speciesmpack",NA
"148","Argyrops spinifer","Speciesmpack","FBmpack"
"149","Argyrosomus hololepidotus",NA,"FBmpack"
"150","Argyrosomus inodorus","Speciesmpack",NA
"151","Argyrosomus japonicus","Speciesmpack",NA
"152","Argyrosomus regius","Speciesmpack","FBmpack"
"153","Argyrozona argyrozona","Speciesmpack",NA
"154","Ariidae",NA,"FBmpack"
"155","Ariomma indica",NA,"FBmpack"
"156","Ariomma indicum","Speciesmpack",NA
"157","Ariopsis guatemalensis","Speciesmpack",NA
"158","Aristeidae",NA,"FBmpack"
"159","Aristeus antennatus",NA,"FBmpack"
"160","Aristeus varidens",NA,"FBmpack"
"161","Aristostomias scintillans","Speciesmpack",NA
"162","Arius latiscutatus","Speciesmpack",NA
"163","Arius maculatus","Speciesmpack",NA
"164","Arius parkii","Speciesmpack",NA
"165","Arius thalassinus",NA,"FBmpack"
"166","Arnoglossus laterna","Speciesmpack",NA
"167","Arnoglossus thori","Speciesmpack",NA
"168","Arripis georgianus","Speciesmpack","FBmpack"
"169","Arripis trutta","Speciesmpack","FBmpack"
"170","Arripis truttacea","Speciesmpack",NA
"171","Artemesia longinaris",NA,"FBmpack"
"172","Ascidiacea",NA,"FBmpack"
"173","Ascophyllum nodosum",NA,"FBmpack"
"174","Aspidophoroides monopterygius","Speciesmpack",NA
"175","Aspitrigla cuculus",NA,"FBmpack"
"176","Asteroidea",NA,"FBmpack"
"177","Atheresthes evermanni",NA,"FBmpack"
"178","Atheresthes stomias",NA,"FBmpack"
"179","Atherina boyeri","Speciesmpack","FBmpack"
"180","Atherina presbyter","Speciesmpack",NA
"181","Atherinidae",NA,"FBmpack"
"182","Atractoscion aequidens","Speciesmpack","FBmpack"
"183","Atractoscion nobilis","Speciesmpack","FBmpack"
"184","Atrobucca nibe","Speciesmpack","FBmpack"
"185","Atropus atropos","Speciesmpack",NA
"186","Atule mate","Speciesmpack",NA
"187","Auchenoglanis occidentalis","Speciesmpack",NA
"188","Aulacomya ater",NA,"FBmpack"
"189","Aulorhynchus flavidus","Speciesmpack",NA
"190","Austroglossus microlepis","Speciesmpack","FBmpack"
"191","Austroglossus pectoralis","Speciesmpack","FBmpack"
"192","Austroglossus spp",NA,"FBmpack"
"193","Austromegabalanus psittacus",NA,"FBmpack"
"194","Auxis rochei","Speciesmpack",NA
"195","Auxis thazard","Speciesmpack","FBmpack"
"196","Auxis thazard, A. rochei",NA,"FBmpack"
"197","Bagrus bajad","Speciesmpack",NA
"198","Bagrus docmak","Speciesmpack",NA
"199","Bagrus meridionalis","Speciesmpack",NA
"200","Bairdiella chrysoura","Speciesmpack",NA
"201","Balaena mysticetus",NA,"FBmpack"
"202","Balaenoptera acutorostrata",NA,"FBmpack"
"203","Balaenoptera borealis",NA,"FBmpack"
"204","Balaenoptera edeni",NA,"FBmpack"
"205","Balaenoptera musculus",NA,"FBmpack"
"206","Balaenoptera physalus",NA,"FBmpack"
"207","Balistes capriscus","Speciesmpack",NA
"208","Balistes carolinensis",NA,"FBmpack"
"209","Balistes vetula","Speciesmpack",NA
"210","Balistidae",NA,"FBmpack"
"211","Ballerus ballerus","Speciesmpack",NA
"212","Ballerus sapa","Speciesmpack",NA
"213","Barbatula barbatula","Speciesmpack",NA
"214","Barbus barbus","Speciesmpack",NA
"215","Barbus holotaenia","Speciesmpack",NA
"216","Barbus meridionalis","Speciesmpack",NA
"217","Barbus paludinosus","Speciesmpack",NA
"218","Barbus trimaculatus","Speciesmpack",NA
"219","Bathophilus flemingi","Speciesmpack",NA
"220","Bathyagonus nigripinnis","Speciesmpack",NA
"221","Bathylagus pacificus","Speciesmpack",NA
"222","Bathypterois dubius","Speciesmpack",NA
"223","Batrachocottus baicalensis","Speciesmpack",NA
"224","Batrachoididae",NA,"FBmpack"
"225","Bellator gymnostethus","Speciesmpack",NA
"226","Belone belone",NA,"FBmpack"
"227","Belonidae",NA,"FBmpack"
"228","Benthalbella linguidens","Speciesmpack",NA
"229","Benthosema fibulatum","Speciesmpack",NA
"230","Benthosema glaciale","Speciesmpack",NA
"231","Benthosema pterotum","Speciesmpack",NA
"232","Benthosema suborbitale","Speciesmpack",NA
"233","Berardius bairdii",NA,"FBmpack"
"234","Beryx decadactylus","Speciesmpack",NA
"235","Beryx splendens","Speciesmpack","FBmpack"
"236","Beryx spp",NA,"FBmpack"
"237","Bivalvia",NA,"FBmpack"
"238","Blicca bjoerkna","Speciesmpack",NA
"239","Bolbometopon muricatum","Speciesmpack",NA
"240","Boleophthalmus pectinirostris","Speciesmpack",NA
"241","Boops boops","Speciesmpack","FBmpack"
"242","Boreogadus saida","Speciesmpack","FBmpack"
"243","Borostomias panamensis","Speciesmpack",NA
"244","Bostockia porosa","Speciesmpack",NA
"245","Bothidae",NA,"FBmpack"
"246","Bothus pantherinus",NA,"FBmpack"
"247","Boulengerochromis microlepis","Speciesmpack",NA
"248","Brachydeuterus auritus","Speciesmpack","FBmpack"
"249","Brachypleura novaezeelandiae","Speciesmpack",NA
"250","Brachyura",NA,"FBmpack"
"251","Brama australis",NA,"FBmpack"
"252","Brama brama","Speciesmpack","FBmpack"
"253","Brama japonica","Speciesmpack",NA
"254","Branchiostegidae",NA,"FBmpack"
"255","Branchiostegus japonicus","Speciesmpack",NA
